#,Time,rxSpeed,txSpeed,nodeId,velo_x,velo_y,pos_x,pos_y,IsLinkUp,Csgid,Earfcn,Imsi,rrcState,rrcState_str,rrcCellId,rrcDlBw,distfromcell
0,0.9,0,0,22,14.068,5.00693,542.741,428.003,32,0,30309,9,0,IDLE_START,0,0
1,1.9,20848,6896,22,-11.3498,1.18673,543.688,422.72,32,0,30309,9,0,IDLE_START,0,0
2,2.9,4.57887e+06,207320,22,10.1872,9.85343,541.406,423.809,32,0,30309,9,9,CONNECTED_NORMALLY,9,4,320.302
3,3.9,2.64903e+06,121632,22,11.6647,5.79452,544.619,425.677,32,0,30309,9,9,CONNECTED_NORMALLY,9,4,323.609
4,4.9,3.93543e+06,178624,22,11.761,4.42787,544.433,427.813,32,0,30309,9,9,CONNECTED_NORMALLY,9,4,325.303
5,5.9,3.91602e+06,177792,22,-12.2439,-6.86603,544.369,431.276,32,0,30309,9,9,CONNECTED_NORMALLY,9,4,328.189
6,6.9,2.92402e+06,130208,22,-6.49089,9.35675,544.703,432.76,32,0,30309,9,9,CONNECTED_NORMALLY,9,4,329.623
7,7.9,0,0,22,-11.809,1.95441,542.998,434.363,32,0,30309,9,9,CONNECTED_NORMALLY,9,4,330.077
8,8.9,0,0,22,8.9987,-6.64592,541.506,430.79,32,0,30309,9,9,CONNECTED_NORMALLY,9,4,326.256
9,9.9,0,0,22,12.5062,3.57167,540.623,428.897,32,0,30309,9,9,CONNECTED_NORMALLY,9,4,324.184
10,10.9,0,0,22,-9.74927,10.5994,541.317,431.944,32,0,30309,9,9,CONNECTED_NORMALLY,9,4,327.137
11,11.9,0,0,22,0.383603,10.4251,543.754,434.188,32,0,30309,9,9,CONNECTED_NORMALLY,9,4,330.328
12,12.9,7400,3904,22,-9.47629,4.53969,544.173,436.22,32,0,30309,9,9,CONNECTED_NORMALLY,9,4,332.274
13,13.9,3.64466e+06,162240,22,6.10472,-11.6877,546.965,438.193,32,0,30309,9,9,CONNECTED_NORMALLY,9,4,335.425
14,14.9,0,0,22,-8.62733,5.74832,545.9,438.143,32,0,30309,9,9,CONNECTED_NORMALLY,9,4,334.818
15,15.9,0,0,22,9.00079,6.68848,544.496,437.322,32,0,30309,9,9,CONNECTED_NORMALLY,9,4,333.38
16,16.9,0,0,22,3.73607,13.0162,547.046,434.312,32,0,30309,9,9,CONNECTED_NORMALLY,5,4,156.7
17,17.9,0,0,22,13.0603,-2.11493,551.782,436.255,32,0,30309,9,9,CONNECTED_NORMALLY,5,4,151.837
18,18.9,0,0,22,-3.55898,-12.6373,550.99,431.046,32,0,30309,9,9,CONNECTED_NORMALLY,5,4,153.081
19,19.9,0,0,22,3.89173,-10.7969,554.494,426.37,32,0,30309,9,9,CONNECTED_NORMALLY,5,4,150.173
20,20.9,7400,3920,22,7.84628,-13.0723,557.321,421.25,32,0,30309,9,9,CONNECTED_NORMALLY,5,4,148.181
21,21.9,2.01796e+06,90272,22,-10.1465,5.70537,555.461,418.318,32,0,30309,9,9,CONNECTED_NORMALLY,5,4,150.541
22,22.9,0,0,22,-13.6123,5.75777,553.829,418.036,32,0,30309,9,9,CONNECTED_NORMALLY,5,4,152.195
23,23.9,0,0,22,10.0418,-10.5041,556.527,418.879,32,0,30309,9,9,CONNECTED_NORMALLY,5,4,149.39
24,24.9,0,0,22,4.1618,12.1171,559.838,415.909,32,0,30309,9,9,CONNECTED_NORMALLY,5,4,146.745
25,25.9,0,0,22,-4.76611,13.2858,559.212,416.745,32,0,30309,9,9,CONNECTED_NORMALLY,5,4,147.182
26,26.9,0,0,22,12.4004,1.25412,556.506,417.02,32,0,30309,9,9,CONNECTED_NORMALLY,5,4,149.771
27,27.9,0,0,22,11.3305,1.48957,558.26,415.742,32,0,30309,9,9,CONNECTED_NORMALLY,5,4,148.321
28,28.9,0,0,22,-1.3648,12.0023,560.637,417.657,32,0,30309,9,9,CONNECTED_NORMALLY,5,4,145.604
29,29.9,0,0,22,2.29023,11.3468,560.286,421.999,32,0,30309,9,9,CONNECTED_NORMALLY,5,4,145.136
30,30.9,0,0,22,5.60661,-9.53123,560.609,423.853,32,0,30309,9,9,CONNECTED_NORMALLY,5,4,144.51
31,31.9,0,0,22,-5.00391,10.7082,562.998,424.653,32,0,30309,9,9,CONNECTED_NORMALLY,5,4,142.029
32,32.9,0,0,22,-0.668618,-10.3076,561.669,423.619,32,0,30309,9,9,CONNECTED_NORMALLY,5,4,143.503
33,33.9,0,0,22,-9.7628,2.72798,562.407,422.12,32,0,30309,9,9,CONNECTED_NORMALLY,5,4,143.03
34,34.9,0,0,22,9.90886,9.32278,564.112,420.161,32,0,30309,9,9,CONNECTED_NORMALLY,5,4,141.713
35,35.9,0,0,22,12.8398,-8.55048,564.309,422.307,32,0,30309,9,9,CONNECTED_NORMALLY,5,4,141.129
36,36.9,0,0,22,7.95801,7.92272,565.749,426.004,32,0,30309,9,9,CONNECTED_NORMALLY,5,4,139.108
37,37.9,0,0,22,12.3842,-5.74834,563.52,427.686,32,0,30309,9,9,CONNECTED_NORMALLY,5,4,141.067
